metodo,factor_escala,n_profesores,n_escuelas,n_cursos,semilla,fitness_total,fitness_por_curso,distancia_total,duracion_seg,violaciones_duras,violaciones_duras_por_curso,cursos_sin_senior,seniors_fuera_disponibilidad,seniors_en_conflicto,juniors_fuera_disponibilidad,juniors_en_conflicto,cursos_con_junior
greedy,32,512,128,704,2,142029.0,201.746,13349.0,0.6434,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,2,181472.5,257.773,10292.5,43.1094,510,0.724432,0,432,78,226,23,336
genetico,32,512,128,704,3,82201.0,116.763,10781.0,100.2831,207,0.294034,0,62,145,109,65,404
greedy,32,512,128,704,3,142029.0,201.746,13349.0,0.6185,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,3,183028.0,259.983,10368.0,45.5501,516,0.732955,0,440,76,210,37,342
genetico,32,512,128,704,4,78407.5,111.374,10767.5,98.9041,193,0.274148,0,49,144,105,74,408
greedy,32,512,128,704,4,142029.0,201.746,13349.0,0.6797,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,4,183352.5,260.444,9992.5,45.3278,517,0.734375,0,449,68,223,28,342
genetico,32,512,128,704,5,80761.5,114.718,11061.5,102.385,200,0.284091,0,61,139,106,76,425
greedy,32,512,128,704,5,142029.0,201.746,13349.0,0.6885,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,5,180048.0,255.75,10648.0,47.1242,513,0.728693,0,445,68,200,22,335
genetico,32,512,128,704,6,82772.0,117.574,10652.0,97.8841,211,0.299716,0,55,156,103,65,399
greedy,32,512,128,704,6,142029.0,201.746,13349.0,0.6336,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,6,181568.0,257.909,9988.0,43.2151,511,0.725852,0,438,73,219,32,341
genetico,32,512,128,704,7,81786.0,116.173,10886.0,98.8613,202,0.286932,0,53,149,109,80,430
greedy,32,512,128,704,7,142029.0,201.746,13349.0,0.6144,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,7,175484.0,249.267,10064.0,44.5155,500,0.710227,0,439,61,192,29,334
genetico,32,512,128,704,8,84873.5,120.559,10913.5,97.3683,214,0.303977,0,73,141,114,67,417
greedy,32,512,128,704,8,142029.0,201.746,13349.0,0.6375,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,8,181373.5,257.633,10113.5,43.0717,522,0.741477,0,429,93,194,16,317
genetico,32,512,128,704,9,82499.0,117.186,10839.0,101.0082,212,0.301136,0,52,160,107,54,402
greedy,32,512,128,704,9,142029.0,201.746,13349.0,0.6586,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,9,183328.0,260.409,10268.0,44.1383,522,0.741477,0,447,75,208,22,327
genetico,32,512,128,704,10,84681.0,120.286,10921.0,96.3891,213,0.302557,0,54,159,109,76,432
greedy,32,512,128,704,10,142029.0,201.746,13349.0,0.6998,334,0.474432,0,0,334,0,400,576
random,32,512,128,704,10,180646.0,256.599,10586.0,43.4031,512,0.727273,0,440,72,216,18,347
